,1,2,3,4,5,6,7,8,9,10
1,l,l,f,h,f,h,l,l,l,b
2,l,l,fbf,h,fbf,h,l,f,l,b
3,l,l,h,h,l,h,l,lhfh,l,b
4,l,l,h,h,f,h,l,l,l,l
5,l,l,h,h,l,h,l,l,l,l
6,l,l,h,bfg,l,bfg,l,l,l,l
7,l,l,h,h,l,l,l,f,f,l
8,l,l,h,h,h,l,f,lhfh,b,l
9,l,f,h,bfg,h,l,lhfh,l,glf,l
