"","mat","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4"
"1","a","r","q","l","t","r","w","t","m","t","m","b","r","t","m","h","l","q","m","r","b","l","m","l","m","l","f","q","q","l","m","q","q","l","r","l","t","h","n","m","h","l","s","t","g"
"2","f","f","sh","t","a","fg","w","rm","hm","qb","rr","h","mb","qb","gb","rs","tf","at","wf","fg","t","nh","nw","tf","f","q","b","bg","lb","tf","gb","lb","mm","s","bt","w","rm","lw","qw","gb","mh","f","nb","hg","w"
"3","b","g","t","n","t","gb","tt","b","w","w","m","sf","tf","ht","fb","q","ts","lh","nw","nw","hg","bq","ql","f","rn","bg","f","aq","tf","qh","tf","tf","rw","a","f","q","bg","mh","hn","wn","qw","b","wn","hm","lg"
"4","qn","l","w","r","a","f","lq","gh","lg","bl","qh","nw","wf","hg","wn","r","q","hb","lw","mh","nw","fg","sa","b","q","f","f","t","nw","a","ts","qh","bb","r","qf","mm","aq","s","nf","bt","w","wl","fg","mgf","gb"
"5","b","q","tt","w","g","g","am","hb","gb","ws","bq","sf","f","lt","fg","sw","bg","nh","r","ag","lw","w","ht","nf","sh","wa","r","r","lw","m","q","ag","ss","am","nw","mm","t","f","nw","qs","n","at","wf","hm","wn"
"6","b","mm","s","bl","b","ab","q","ht","rl","qs","th","rr","ns","al","aq","s","ts","rh","mb","gb","hn","bl","h","a","rh","nh","s","sw","ar","aq","mm","wf","f","g","ar","lb","lq","ns","lw","ab","ws","rf","hm","lb","fg"
"7","ms","a","g","b","a","ht","t","g","m","qs","qw","g","gn","qw","sw","t","f","a","fb","nh","b","ag","bb","h","w","qw","qm","mh","rn","th","bg","gb","t","t","s","rl","th","hw","ar","wn","hw","wf","mgf","ss","qh"
"8","a","g","s","nf","sb","a","hg","lh","wf","g","lw","gn","wl","w","bb","hg","wa","q","ln","hb","qn","rgr","f","lw","q","rs","sh","qw","th","ag","ts","nh","rm","s","r","f","ws","mh","s","mb","r","wf","qh","rf","ag"
"9","b","w","nb","f","mw","b","f","qw","t","r","ar","wl","rw","bl","mw","qh","nh","bg","s","ss","t","fm","wa","fm","at","q","s","r","lm","wf","r","ag","rw","a","r","gw","q","a","wh","tf","fg","lt","s","ts","qh"
