"","mat","n4","n4","n4","n4","n4","n4","n4","n4","n4"
"1","m","l","n","n","m","f","r","l","s","l"
"2","gb","nh","hb","ws","hm","q","r","mw","wh","tf"
"3","mw","ag","ln","lh","mm","bg","mb","rs","qw","wf"
"4","bb","qh","gh","rh","at","b","tf","rf","bb","nw"
"5","wn","b","bq","ag","lh","s","nw","hm","mw","bb"
"6","fg","h","mb","qh","bq","q","bb","at","mh","f"
"7","qh","ar","fb","ws","fg","at","ss","qs","ws","b"
"8","hb","f","nh","gn","ts","s","hw","q","rf","gh"
"9","nh","w","lm","w","rf","m","lw","r","wf","rh"
