,mat,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4,n4
1,m,r,q,m,q,q,m,q,q,r,q,h,w,r,q
2,n,r,h,lw,m,q,q,m,r,l,m,n,l,r,n
3,m,n,n,t,q,r,n,r,n,m,l,q,m,n,r
4,r,fn,fn,m,q,l,q,b,q,n,r,s,lw,w,t
5,n,q,fn,n,l,m,m,h,h,fn,n,r,g,q,r
6,s,n,qg,fn,s,q,n,r,m,q,qg,n,q,r,q
7,l,m,n,fn,l,n,fn,q,n,n,n,q,q,l,n
