"","mat","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4"
"1","m","n","n","n","q","n","h","n","q","q","g","l","n","q","n"
"2","n","fn","qg","q","q","q","r","r","m","s","q","n","fn","q","fn"
"3","m","q","n","q","r","m","q","r","l","r","q","q","r","l","s"
"4","r","n","w","m","l","n","r","l","r","n","n","n","l","m","ln"
"5","n","m","m","q","m","fn","q","m","n","q","r","r","r","n","q"
"6","s","n","lw","q","q","r","r","n","qg","s","r","t","t","q","q"
"7","l","q","t","l","n","q","n","fn","n","w","n","r","r","s","n"
"8","q","h","m","s","fn","m","q","q","q","l","w","q","q","ln","r"
"9","r","n","n","l","m","r","h","n","h","m","q","n","q","f","q"
