"","mat","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4","n4"
"1","n","r","q","n","t","m","t","b","w","a","a","s"
"2","s","l","t","t","m","b","h","b","r","q","m","a"
"3","ln","t","s","q","lw","a","a","f","s","b","lw","t"
"4","fn","n","t","a","g","lr","h","a","m","s","a","a"
"5","qg","m","g","r","bl","t","n","lr","h","ln","s","l"
"6","m","l","a","a","g","m","m","a","g","fn","s","b"
"7","n","t","lr","n","l","w","n","h","h","b","h","r"
"8","qg","a","q","t","n","f","b","h","h","f","l","q"
"9","q","s","h","r","fn","g","r","h","a","w","s","q"
